;createTime;specificEnergy (kWh/kWp);plantid;dayEnergy (kWh);irradiation (Wh/msq)
0;2018-01-01;0,13;100129;379,77;28,1771325492443
1;2018-01-02;0,47;100129;1366,63;136,226668930164
2;2018-01-03;0,05;100129;136,06;15,8252396508632
3;2018-01-04;0,1;100129;292,24;23,2608301562782
4;2018-01-05;0,16;100129;456,22;34,0951165231743
5;2018-01-06;0,56;100129;1624,85;150,003539537978
6;2018-01-07;0,62;100129;1789,44;162,077242772891
7;2018-01-08;0,59;100129;1699,29;165,382607617335
8;2018-01-09;0,57;100129;1644,8;161,562026363324
9;2018-01-10;0,05;100129;150,07;14,9420632279935
10;2018-01-11;0,05;100129;152,84;14,9792198669825
11;2018-01-12;0,03;100129;80,81;11,0562177448057
12;2018-01-13;0,01;100129;21,1;6,43254130882347
13;2018-01-14;0,06;100129;181,52;17,1419839652559
14;2018-01-15;0,03;100129;100,57;12,7758223305111
15;2018-01-16;0,26;100129;745,34;55,230439618445
16;2018-01-17;0,26;100129;752,13;49,1008625062612
17;2018-01-18;0,09;100129;255,37;23,3841296583179
18;2018-01-19;0,24;100129;682,94;43,7195308528655
19;2018-01-20;0,21;100129;622,24;41,3149209579615
20;2018-01-21;0,42;100129;1210,26;73,4464391384414
21;2018-01-22;0,17;100129;482,16;34,951509233723
22;2018-01-23;0,12;100129;348,06;27,3800178376052
23;2018-01-24;0,07;100129;201,41;18,1907807426587
24;2018-01-25;0,43;100129;1237,83;81,3854097734636
25;2018-01-26;0,2;100129;576,53;39,1413010955254
26;2018-01-27;0,28;100129;822,91;50,4999542817626
27;2018-01-28;0,16;100129;464,07;33,5221395299125
28;2018-01-29;0,3;100129;863,98;55,3800142520086
29;2018-01-30;0,55;100129;1610,42;100,430010880457
30;2018-01-31;0,11;100129;315,1;24,0940333631789
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-02-01;0,69;100129;1999,34;126,923102371214
1;2018-02-02;0,11;100129;322,23;25,9608059737201
2;2018-02-03;0,09;100129;261,51;23,2527984670082
3;2018-02-04;0,12;100129;361,99;46,5425816217758
4;2018-02-05;0,72;100129;2077,13;132,631259206154
5;2018-02-06;0,73;100129;2129,23;134,00212891551
6;2018-02-07;0,88;100129;2540,32;152,732986804597
7;2018-02-08;1,4;100129;4053,15;260,565298351198
8;2018-02-09;0,98;100129;2833,07;172,108154085983
9;2018-02-10;0,22;100129;630,32;43,4420596474028
10;2018-02-11;0,09;100129;260,55;29,1518653779957
11;2018-02-12;0,83;100129;2422,24;142,189398347095
12;2018-02-13;0,54;100129;1579,9;128,439456730619
13;2018-02-14;1,81;100129;5243,1;321,136686164219
14;2018-02-15;0,33;100129;962,36;60,1224231117977
15;2018-02-16;0,54;100129;1574,5;120,710180611519
16;2018-02-17;0,68;100129;1970,96;110,138058222847
17;2018-02-18;0,54;100129;1554,74;88,735549406758
18;2018-02-19;0,09;100129;271,96;24,1145922409254
19;2018-02-20;1,36;100129;3953,59;226,164362948411
20;2018-02-21;0,81;100129;2348,26;133,480874564448
21;2018-02-22;1,31;100129;3799,89;213,979371908622
22;2018-02-23;2,07;100129;6000,32;321,098798451753
23;2018-02-24;2,25;100129;6517,71;364,503322067327
24;2018-02-25;1,64;100129;4773,76;263,727840451368
25;2018-02-26;1,68;100129;4863,69;270,704434312417
26;2018-02-27;0,05;100129;135,17;212,137510212588
27;2018-02-28;0,07;100129;196,09;168,204379818764
28;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-03-01;0,41;100129;1201,06;212,403136676887
1;2018-03-02;0,41;100129;1202,12;143,687426656356
2;2018-03-03;0,7;100129;2043,41;170,965966768795
3;2018-03-04;1,76;100129;5097,13;276,486141738606
4;2018-03-05;0,37;100129;1062,08;70,4121467364651
5;2018-03-06;0,56;100129;1628,6;93,9623870312134
6;2018-03-07;0,82;100129;2385,66;129,547084595732
7;2018-03-08;0,21;100129;595,36;92,9779170833321
8;2018-03-09;0,11;100129;331,11;109,219184627473
9;2018-03-10;0,78;100129;2268,45;174,447356345167
10;2018-03-11;0,3;100129;878,18;65,3229713002384
11;2018-03-12;0,76;100129;2193,19;120,972497608051
12;2018-03-13;0,27;100129;791,5;52,8541114483956
13;2018-03-14;1,27;100129;3690,07;195,023723937248
14;2018-03-15;0,63;100129;1840,79;105,890514299162
15;2018-03-16;1,34;100129;3888,06;200,07931878041
16;2018-03-17;2,06;100129;5969,07;308,30125403639
17;2018-03-18;3,74;100129;10862,57;517,79782825324
18;2018-03-19;3,75;100129;10878,6;514,984690761837
19;2018-03-20;4,1;100129;11912,51;563,700464074695
20;2018-03-21;1,4;100129;4078,43;213,007753166687
21;2018-03-22;0,65;100129;1891,22;110,131003529946
22;2018-03-23;0,86;100129;2501,42;137,454000961882
23;2018-03-24;0,7;100129;2017,91;113,834006102898
24;2018-03-25;0,49;100129;1430,13;85,9254081864971
25;2018-03-26;1,87;100129;5423,3;271,34256540456
26;2018-03-27;0,83;100129;2423,04;133,925012028615
27;2018-03-28;0,59;100129;1722,52;108,114395576975
28;2018-03-29;1,7;100129;4938,12;255,392111980153
29;2018-03-30;4,12;100129;11960,3;567,958497949788
30;2018-03-31;1,62;100129;4702,71;242,072342925416
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-04-01;2,76;100129;8000,2;383,863750194728
1;2018-04-02;4,24;100129;12295,87;590,949820273295
2;2018-04-03;0,54;100129;1562,88;95,5248372727598
3;2018-04-04;2,76;100129;8018,8;407,730902772187
4;2018-04-05;0,98;100129;2842,75;149,407249233979
5;2018-04-06;4,53;100129;13158,79;632,857014055222
6;2018-04-07;3,46;100129;10030,76;479,256737535289
7;2018-04-08;3,72;100129;10791,22;515,660930040735
8;2018-04-09;2,64;100129;7670,34;370,116932691514
9;2018-04-10;1,8;100129;5228,72;262,357322776522
10;2018-04-11;4,51;100129;13101,13;618,607757786284
11;2018-04-12;2,65;100129;7678,78;374,343492935027
12;2018-04-13;2,11;100129;6136,01;303,572914298099
13;2018-04-14;1,28;100129;3728,07;196,675656143127
14;2018-04-15;0,91;100129;2628,63;143,341440303289
15;2018-04-16;2,27;100129;6591,23;325,956231086338
16;2018-04-17;3,01;100129;8752,49;440,42960668014
17;2018-04-18;3,82;100129;11084,59;539,476289544359
18;2018-04-19;4,5;100129;13069,86;612,5035962249
19;2018-04-20;4,45;100129;12906,86;614,826497287458
20;2018-04-21;4,81;100129;13961;672,825277435434
21;2018-04-22;3,67;100129;10653,49;512,719752549167
22;2018-04-23;3,03;100129;8794,8;460,984802605684
23;2018-04-24;1,9;100129;5509,58;269,194113536448
24;2018-04-25;2,67;100129;7748,84;404,343442113547
25;2018-04-26;2,95;100129;8561,16;439,458261609298
26;2018-04-27;3,88;100129;11257,59;565,999191121639
27;2018-04-28;0,08;100129;235;271,43587729254
28;2018-04-29;0;100129;0;nan
29;2018-04-30;0;100129;0;nan
30;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-05-01;0;100129;0;nan
1;2018-05-02;0;100129;0;nan
2;2018-05-03;0;100129;0;nan
3;2018-05-04;0;100129;0;nan
4;2018-05-05;0;100129;0;nan
5;2018-05-06;0;100129;0;nan
6;2018-05-07;0;100129;0;nan
7;2018-05-08;0;100129;0;nan
8;2018-05-09;0;100129;0;nan
9;2018-05-10;0;100129;0;nan
10;2018-05-11;0;100129;0;nan
11;2018-05-12;0;100129;0;nan
12;2018-05-13;0;100129;0;nan
13;2018-05-14;0;100129;0;nan
14;2018-05-15;0;100129;0;nan
15;2018-05-16;0,15;100129;441,31;680,393142814043
16;2018-05-17;1,57;100129;4552,71;678,02255567457
17;2018-05-18;0,74;100129;2142,57;297,561332972028
18;2018-05-19;1,16;100129;3359,76;535,448783352696
19;2018-05-20;1,64;100129;4759,49;711,238970356971
20;2018-05-21;2,43;100129;7042,04;603,912347844171
21;2018-05-22;5,19;100129;15061,08;672,930178769178
22;2018-05-23;5,66;100129;16423,04;616,377428725697
23;2018-05-24;6,73;100129;19529,03;721,041341280217
24;2018-05-25;6,68;100129;19395,71;763,221460581693
25;2018-05-26;6,42;100129;18623,32;752,8033462088
26;2018-05-27;3,85;100129;11182;434,250494331534
27;2018-05-28;6,06;100129;17585,66;708,730094039468
28;2018-05-29;4,76;100129;13814,42;518,639480721535
29;2018-05-30;6,84;100129;19850,41;790,17597053844
30;2018-05-31;6,59;100129;19131,55;761,993992401481
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-06-01;6,7;100129;19443,88;767,100683128901
1;2018-06-02;6,66;100129;19346,37;737,723219147059
2;2018-06-03;6,69;100129;19426,07;770,829595646874
3;2018-06-04;6,35;100129;18427,93;755,551660007857
4;2018-06-05;6,98;100129;20265,16;816,62417196258
5;2018-06-06;5,76;100129;16729,72;660,393761581534
6;2018-06-07;6,83;100129;19833,24;778,337967382682
7;2018-06-08;6,71;100129;19465,38;775,025564171663
8;2018-06-09;3,53;100129;10255,59;388,319959600106
9;2018-06-10;1,26;100129;3658,52;150,211785743916
10;2018-06-11;2,93;100129;8506,55;330,203424257965
11;2018-06-12;5,32;100129;15457,61;658,531865245138
12;2018-06-13;6,69;100129;19426,38;850,17200538991
13;2018-06-14;4,38;100129;12729,24;508,615938028576
14;2018-06-15;4,81;100129;13960,91;617,858582021231
15;2018-06-16;2,38;100129;6896,89;269,18332063204
16;2018-06-17;4,8;100129;13943,37;606,347792560825
17;2018-06-18;2,78;100129;8063,45;309,230590317411
18;2018-06-19;5,76;100129;16720,29;740,915521395081
19;2018-06-20;1,65;100129;4792,2;190,978078168535
20;2018-06-21;5,68;100129;16497,94;726,829424952414
21;2018-06-22;5,8;100129;16841,25;702,429299346187
22;2018-06-23;4,04;100129;11725,34;471,897775785567
23;2018-06-24;6,2;100129;18011,81;715,035809669022
24;2018-06-25;6,61;100129;19176,88;789,960659183661
25;2018-06-26;6,68;100129;19393,09;773,643534180861
26;2018-06-27;6,74;100129;19572,59;749,206601806181
27;2018-06-28;6,78;100129;19669,41;789,526428431197
28;2018-06-29;6,76;100129;19625,28;787,032927137476
29;2018-06-30;7,01;100129;20339,13;824,923963606076
30;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-07-01;6,63;100129;19255,29;796,37764308156
1;2018-07-02;6,86;100129;19905,54;812,611860096725
2;2018-07-03;6,94;100129;20137,33;812,783198565261
3;2018-07-04;7;100129;20329,79;826,268735090644
4;2018-07-05;3,01;100129;8725,62;346,312540039119
5;2018-07-06;6,86;100129;19906,93;852,963754585413
6;2018-07-07;6,92;100129;20085,98;818,927270717349
7;2018-07-08;6,94;100129;20144,63;813,734760115438
8;2018-07-09;6,81;100129;19763,82;822,757517452077
9;2018-07-10;5,05;100129;14649,15;598,796453004877
10;2018-07-11;6,03;100129;17512,05;705,844774919478
11;2018-07-12;4,91;100129;14259,36;577,133908472861
12;2018-07-13;6,84;100129;19864,46;804,553215862968
13;2018-07-14;4,97;100129;14440,03;558,605904384771
14;2018-07-15;6,07;100129;17630,78;725,58833375307
15;2018-07-16;6,63;100129;19261,37;760,843734562836
16;2018-07-17;4,97;100129;14425,32;592,067482762371
17;2018-07-18;4,93;100129;14319,7;575,053888803112
18;2018-07-19;6,07;100129;17631,35;757,686969336962
19;2018-07-20;6,6;100129;19171,19;778,456245477836
20;2018-07-21;5,89;100129;17094,43;717,951750906481
21;2018-07-22;4,89;100129;14200,89;557,051516810901
22;2018-07-23;3,82;100129;11085,72;462,372717722735
23;2018-07-24;6,23;100129;18097,99;719,517992774769
24;2018-07-25;6,06;100129;17604,26;666,715912401185
25;2018-07-26;6,47;100129;18783,84;732,555159854131
26;2018-07-27;6,43;100129;18656,55;725,086193722233
27;2018-07-28;5,52;100129;16029,09;653,980564940683
28;2018-07-29;5,7;100129;16536,64;671,32318061482
29;2018-07-30;3,73;100129;10839,78;414,430372849127
30;2018-07-31;3,13;100129;9083;350,867492487336
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-08-01;5,11;100129;14828,26;611,185958515288
1;2018-08-02;5,87;100129;17044,15;678,854557293565
2;2018-08-03;5,14;100129;14929,87;619,900503317075
3;2018-08-04;4,5;100129;13063,22;561,101251335679
4;2018-08-05;3,85;100129;11180,72;460,571737495773
5;2018-08-06;2,2;100129;6397,61;254,464065078205
6;2018-08-07;5,51;100129;15992,9;635,104906973216
7;2018-08-08;2,99;100129;8689,55;339,30159931292
8;2018-08-09;5,11;100129;14839,08;605,711073804673
9;2018-08-10;3,99;100129;11576,54;481,295578444564
10;2018-08-11;2,77;100129;8052,35;319,84492112834
11;2018-08-12;1,66;100129;4815,43;192,649690811768
12;2018-08-13;1,13;100129;3286,34;133,800612871605
13;2018-08-14;2,03;100129;5885,4;246,206855408623
14;2018-08-15;4,24;100129;12321,72;490,150437488099
15;2018-08-16;2,2;100129;6399,14;251,693051981458
16;2018-08-17;4,51;100129;13102,55;508,326978264838
17;2018-08-18;1,55;100129;4485,1;179,454775805524
18;2018-08-19;1,08;100129;3129,5;129,249393202769
19;2018-08-20;5,43;100129;15773,16;625,881536763403
20;2018-08-21;4,49;100129;13034,53;545,801878160161
21;2018-08-22;3,88;100129;11252,38;447,511020304398
22;2018-08-23;2,46;100129;7143,04;284,307309570484
23;2018-08-24;2,99;100129;8674,05;338,432057944019
24;2018-08-25;3,67;100129;10661,79;426,20249759487
25;2018-08-26;4,25;100129;12325,99;504,306518524204
26;2018-08-27;1,82;100129;5294,28;204,897373795178
27;2018-08-28;2,57;100129;7470,3;296,658153715837
28;2018-08-29;2,62;100129;7613,88;295,028597993064
29;2018-08-30;1,88;100129;5466,13;208,732225492151
30;2018-08-31;3,76;100129;10909,34;461,506125229484
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-09-01;3,75;100129;10873,79;434,181223011197
1;2018-09-02;4,56;100129;13223,38;525,838613394999
2;2018-09-03;2,59;100129;7531,2;300,098147706459
3;2018-09-04;4,68;100129;13595,74;533,253818911876
4;2018-09-05;3,91;100129;11362,64;445,467196812953
5;2018-09-06;3,89;100129;11300,14;469,804226289078
6;2018-09-07;0,9;100129;2608,07;105,182045991859
7;2018-09-08;2,68;100129;7789,87;312,899243158687
8;2018-09-09;2,45;100129;7119,96;289,042646695477
9;2018-09-10;3,55;100129;10313,9;429,464445391766
10;2018-09-11;1,1;100129;3180,27;128,971934309102
11;2018-09-12;3,13;100129;9075,36;346,178271627909
12;2018-09-13;2,78;100129;8066,91;322,141635630121
13;2018-09-14;1,63;100129;4719,5;188,85502028078
14;2018-09-15;3,64;100129;10553,28;445,581691695729
15;2018-09-16;2,09;100129;6070,92;237,475652288235
16;2018-09-17;2,95;100129;8554,32;341,605724683113
17;2018-09-18;4,96;100129;14385,95;546,308675272327
18;2018-09-19;1,66;100129;4805,76;191,518469375071
19;2018-09-20;1,25;100129;3625,87;146,550230571958
20;2018-09-21;2,13;100129;6194,63;246,278605722645
21;2018-09-22;3,4;100129;9856,43;403,644249831361
22;2018-09-23;3,74;100129;10843,89;434,773060700273
23;2018-09-24;3,94;100129;11445,16;470,689299068483
24;2018-09-25;4,04;100129;11725,32;479,002691566569
25;2018-09-26;0,35;100129;1003,71;45,6738326545702
26;2018-09-27;0,86;100129;2508,86;103,763693697763
27;2018-09-28;4,28;100129;12412,62;512,22221935755
28;2018-09-29;1,65;100129;4789,4;197,477561405129
29;2018-09-30;1,55;100129;4505,51;182,356192421228
30;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-10-01;3,08;100129;8935,93;363,607495263709
1;2018-10-02;2,02;100129;5850,52;233,233771951789
2;2018-10-03;3,36;100129;9739,68;404,255657959863
3;2018-10-04;1,49;100129;4314,55;173,423911944108
4;2018-10-05;0,99;100129;2863,65;116,835793222971
5;2018-10-06;0,66;100129;1916,7;80,3455260229933
6;2018-10-07;2,98;100129;8656,68;350,939004297196
7;2018-10-08;0,84;100129;2440,99;100,292944313185
8;2018-10-09;0,66;100129;1927,8;80,694840801442
9;2018-10-10;3,2;100129;9284,01;367,391312268562
10;2018-10-11;3,47;100129;10077,78;408,597267862652
11;2018-10-12;2,85;100129;8274,86;341,996626459865
12;2018-10-13;2,55;100129;7392,6;304,813258538346
13;2018-10-14;3,3;100129;9565,49;403,145575818142
14;2018-10-15;2,67;100129;7756,43;331,289700641142
15;2018-10-16;1,18;100129;3425,53;148,539666547054
16;2018-10-17;1,8;100129;5218,14;221,927275280621
17;2018-10-18;2,8;100129;8118;363,408764778408
18;2018-10-19;0,96;100129;2773,97;115,878648284288
19;2018-10-20;2,26;100129;6552,23;303,888558896396
20;2018-10-21;0,87;100129;2513,31;104,902299669729
21;2018-10-22;2,58;100129;7484,45;348,417200305679
22;2018-10-23;0,69;100129;2002,85;86,3777559765158
23;2018-10-24;2,22;100129;6436,61;309,646527916005
24;2018-10-25;1,78;100129;5155,4;239,707966556465
25;2018-10-26;0,98;100129;2832,51;125,040248162901
26;2018-10-27;1,33;100129;3868,33;179,792079796409
27;2018-10-28;1,42;100129;4133,83;205,155103792104
28;2018-10-29;0,47;100129;1373,14;58,6490356437663
29;2018-10-30;0,11;100129;309,48;16,6710033221631
30;2018-10-31;1,58;100129;4592,09;225,975137771437
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-11-01;1,22;100129;3552,46;172,081174576419
1;2018-11-02;0,44;100129;1278,14;56,7092026765214
2;2018-11-03;1,88;100129;5449,64;283,102225399613
3;2018-11-04;0,95;100129;2750,04;143,052365823894
4;2018-11-05;0,15;100129;426,14;21,4682685494619
5;2018-11-06;0,19;100129;553,86;26,9633304570905
6;2018-11-07;0,28;100129;814,58;37,0771119771887
7;2018-11-08;0,8;100129;2333,86;104,866099208717
8;2018-11-09;0,36;100129;1039,77;45,5441414992872
9;2018-11-10;0,2;100129;568,42;27,0991795745258
10;2018-11-11;0,28;100129;826,67;36,9026990308681
11;2018-11-12;0,41;100129;1190,91;51,3672073431353
12;2018-11-13;0,29;100129;841,52;38,4885453371351
13;2018-11-14;0,49;100129;1430,46;61,7681672750793
14;2018-11-15;0,59;100129;1703,09;85,3078255740722
15;2018-11-16;1,2;100129;3497,89;217,247228204655
16;2018-11-17;0,8;100129;2319,88;127,198705933024
17;2018-11-18;0,33;100129;953,38;49,1403538482925
18;2018-11-19;0,46;100129;1328,52;61,3557843731898
19;2018-11-20;0,45;100129;1296,46;64,7543608457378
20;2018-11-21;0,14;100129;417,31;20,5501261888901
21;2018-11-22;0,21;100129;613,64;29,017852824813
22;2018-11-23;0,07;100129;189,68;11,6914444200979
23;2018-11-24;0,17;100129;490,15;24,249677549941
24;2018-11-25;0,27;100129;788,49;36,0301555342082
25;2018-11-26;0,81;100129;2341,66;149,168526234048
26;2018-11-27;0,89;100129;2569,19;185,241576150496
27;2018-11-28;0,57;100129;1651,53;104,67237572785
28;2018-11-29;0,07;100129;199,79;11,948446575134
29;2018-11-30;0,19;100129;552,83;26,46408210375
30;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2018-12-01;0,51;100129;1478,79;82,2283892645984
1;2018-12-02;0,07;100129;191,53;11,9145898708017
2;2018-12-03;0,2;100129;569,77;28,8327861393906
3;2018-12-04;0,75;100129;2183,86;162,548956406217
4;2018-12-05;0,67;100129;1943,21;132,029264358858
5;2018-12-06;0,12;100129;362,25;18,3845565140534
6;2018-12-07;0,12;100129;345,46;18,1455431329908
7;2018-12-08;0,19;100129;558,51;27,3878079194589
8;2018-12-09;0,34;100129;975,28;55,7998272473839
9;2018-12-10;0,52;100129;1507,94;109,355029134535
10;2018-12-11;0,31;100129;905,09;60,1295587555111
11;2018-12-12;0,17;100129;502,73;24,4062914578747
12;2018-12-13;0,22;100129;646,31;30,4639654539387
13;2018-12-14;0,19;100129;549,43;26,2367274629987
14;2018-12-15;0,15;100129;424,27;21,3249462640819
15;2018-12-16;0,06;100129;161,5;10,3235821916812
16;2018-12-17;0,14;100129;411,77;20,3316680343181
17;2018-12-18;0,08;100129;235,63;13,2071680982129
18;2018-12-19;0,07;100129;211,24;12,3051879479422
19;2018-12-20;0,12;100129;362,39;18,7090867066499
20;2018-12-21;0,06;100129;171,46;10,683176711075
21;2018-12-22;0,11;100129;315,24;16,5037229269614
22;2018-12-23;0,15;100129;443,46;21,6913624489212
23;2018-12-24;0,58;100129;1675,39;128,925100769584
24;2018-12-25;0,23;100129;673,67;35,5772400200769
25;2018-12-26;0,37;100129;1076,87;74,1601559224843
26;2018-12-27;0,1;100129;303,33;16,0774099018314
27;2018-12-28;0,57;100129;1642,29;115,137630725233
28;2018-12-29;0,08;100129;232,6;13,2495314388354
29;2018-12-30;0,66;100129;1915,65;159,286604606787
30;2018-12-31;0,17;100129;491,16;24,0111325329368
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2019-01-01;0,44;100129;1287,43;74,3152722831044
1;2019-01-02;0,74;100129;2153,82;181,461681058765
2;2019-01-03;0,49;100129;1433,58;75,333773321589
3;2019-01-04;0,38;100129;1099,44;54,1335029525884
4;2019-01-05;0,56;100129;1621,94;100,521512205846
5;2019-01-06;0,23;100129;655,85;30,8098984418453
6;2019-01-07;0,25;100129;732,03;33,7320797232786
7;2019-01-08;0,22;100129;636,67;29,7055253561879
8;2019-01-09;0,84;100129;2446,2;193,298417335456
9;2019-01-10;0,19;100129;558,55;25,0809320351769
10;2019-01-11;0,61;100129;1774,07;109,446022997324
11;2019-01-12;0,17;100129;481,52;23,8126183417501
12;2019-01-13;0,2;100129;587,05;27,8847972974966
13;2019-01-14;0,99;100129;2867,73;210,011581646303
14;2019-01-15;0,18;100129;511,13;25,1773087864659
15;2019-01-16;0,1;100129;284,02;15,7006859285408
16;2019-01-17;0,27;100129;790,8;38,8058627010244
17;2019-01-18;1,09;100129;3175,57;210,449326201697
18;2019-01-19;0,74;100129;2143,06;126,054798119604
19;2019-01-20;0,67;100129;1953,41;89,5888516269261
20;2019-01-21;0,83;100129;2416,07;140,320913103648
21;2019-01-22;0,19;100129;555,5;25,1050294752889
22;2019-01-23;0,39;100129;1136,31;48,9940452913715
23;2019-01-24;0,19;100129;538,33;25,9081694721441
24;2019-01-25;0,46;100129;1336,6;64,4061633622647
25;2019-01-26;0,04;100129;117,53;44,5645013873919
26;2019-01-27;0,23;100129;659,52;30,6409354058984
27;2019-01-28;0,24;100129;684,54;31,5686706565079
28;2019-01-29;1,25;100129;3639,56;208,541201599805
29;2019-01-30;0,9;100129;2601,18;116,057934680867
30;2019-01-31;0,06;100129;173,88;23,1209547211391
31;2020-10-31;0,98;100129;2859,36;130,607677401514
0;2019-02-01;0,51;100129;1460,7;72,2564468513631
1;2019-02-02;0,14;100129;407,09;20,2031992613938
2;2019-02-03;1,19;100129;3396,27;168,551228365949
3;2019-02-04;0,22;100129;619,85;29,2917227248485
4;2019-02-05;0,7;100129;2000,08;90,3440949730032
5;2019-02-06;0,22;100129;628,83;29,2850712099285
6;2019-02-07;0,26;100129;740,6;33,6354095173283
7;2019-02-08;0,5;100129;1424,76;63,3108323163231
